"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024089","1948-08","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","","","87.3",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","1","","","","19480810",",,0","19480831","+,,0","19480831","+,,0","6","","19480806",",,0","19480830",",,0","7.8",",0,10,","0",",,0,31,+","0",",,0,31,+","2.5",",,0,06,","35.6",",0,30,","","","","","","","","","5.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.9",",,,0","","","","","","","0",",,,0","20.99",",0","29.88",",,,0","12.10",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1948-09","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","","","32.6",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","6",",0","","","","","19480924","+,,0","19480930","+,,0","19480930","+,,0","2","","19480919",",,0","19480914","+,,0","3.3",",0,24,+","0",",,0,30,+","0",",,0,30,+","11.9",",,0,19,","33.3",",0,14,+","","","","","","","","","65.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.1",",,,0","","","","","","","0",",,,0","17.24",",0","26.07",",,,0","8.42",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1948-10","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","","","0.0",",0","3",",0","3",",0","0",",0","1",",0","2",",0","0",",0","20",",0","1",",0","9",",0","0",",0","","","","","19481017","+,,0","19481016",",,0","19481016",",,0","1","","19481015",",,0","19481003",",,0","-7.2",",0,17,+","51",",,0,16,","89",",,0,16,","15.0",",,0,15,","27.2",",0,03,","","","","","","","","","319.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.2",",,,0","","","","","","","142",",,,0","8.04",",0","16.92",",,,0","-0.84",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1948-11","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","","","0.0",",0","12",",0","1",",0","0",",0","6",",0","5",",0","1",",0","27",",0","7",",0","0",",0","0",",0","2","","","","19481108",",,0","19481107",",,0","19481107",",,0","","","19481107",",,0","19481101",",,0","-17.8",",0,08,","102",",,0,07,","160",",,0,07,","6.4",",,0,07,","16.1",",0,01,","","","","","","","","","594.4",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0",",,,0","","","","","","","376",",,,0","-1.48",",0","4.13",",,,0","-7.09",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1948-12","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","","","0.0",",0","7",",0","2",",0","0",",0","7",",0","2",",0","4",",0","30",",0","18",",0","0",",0","0",",0","3","","","","19481222",",,0","19481224",",,0","19481223",",,0","","","19481223",",,0","19481203",",,0","-20.0",",0,22,","76",",,0,24,","89",",,0,23,","4.1",",,0,23,","10.6",",0,03,","","","","","","","","","756.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.0",",,,0","","","","","","","209",",,,0","-6.08",",0","-0.11",",,,0","-12.05",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-01","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","14",",0","5",",0","0",",0","29",",0","12",",0","23",",0","31",",0","27",",0","0",",0","0",",0","2","","","","19490124",",,0","19490128",",,0","19490122",",,0","","","19490103",",,0","19490107",",,0","-40.0",",0,24,","381",",,0,28,","201",",,0,22,","8.9",",,0,03,","4.4",",0,07,","","","","","","","","","1015.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.5",",,,0","","","","","","","997",",,,0","-14.42",",0","-8.10",",,,0","-20.74",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-02","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","3",",0","1",",0","0",",0","21",",0","1",",0","5",",0","28",",0","13",",0","0",",0","0",",0","1","","","","19490213",",,0","19490201",",,0","19490212",",,0","","","19490212",",,0","19490227",",,0","-28.9",",0,13,","254",",,0,01,","163",",,0,12,","6.4",",,0,12,","8.3",",0,27,","","","","","","","","","687.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5",",,,0","","","","","","","204",",,,0","-6.24",",0","-0.46",",,,0","-12.01",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-03","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","2",",0","0",",0","1",",0","3",",0","0",",0","30",",0","5",",0","0",",0","0",",0","4","","","","19490314",",,0","19490308",",,0","19490323",",,0","","","19490323",",,0","19490319",",,0","-17.2",",0,14,","25",",,0,08,","74",",,0,23,","6.6",",,0,23,","16.1",",0,19,","","","","","","","","","549.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.4",",,,0","","","","","","","265",",,,0","0.61",",0","6.96",",,,0","-5.74",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-04","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","7",",0","2",",0","0",",0","0",",0","3",",0","0",",0","16",",0","0",",0","8",",0","0",",0","","","","","19490402","+,,0","19490430","+,,0","19490413",",,0","2","","19490430",",,0","19490424",",,0","-8.3",",0,02,+","0",",,0,30,+","56",",,0,13,","8.9",",,0,30,","26.7",",0,24,","","","","","","","","","305.6",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5",",,,0","","","","","","","109",",,,0","8.15",",0","16.78",",,,0","-0.49",",,,0","","","","","","","","","","","","","","","","","",""
"USW00024089","1949-05","42.89778","-106.47361","1621.1","CASPER NATRONA CO AIRPORT, WY US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","8",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","14",",0","0",",0","4","","","","19490524","+,,0","19490531","+,,0","19490505",",,0","9","","19490504",",,0","19490527",",,0","0.0",",0,24,+","0",",,0,31,+","18",",,0,05,","21.1",",,0,04,","28.3",",0,27,","","","","","","","","","201.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.3",",,,0","","","","","","","18",",,,0","11.84",",0","19.20",",,,0","4.48",",,,0","","","","","","","","","","","","","","","","","",""
